Category,Name,Documentation URL
DevOps,Azure Kubernetes Service (AKS) Dev Spaces,https://docs.microsoft.com/azure/aks/dev-spaces/
DevOps,Azure Artifacts,https://docs.microsoft.com/azure/devops/artifacts/
DevOps,Azure DevOps Server (formerly Team Foundation Server),https://docs.microsoft.com/azure/devops/server/
DevOps,Azure DevOps CLI,https://docs.microsoft.com/azure/devops/cli/
Management & Governance,Azure Resource Manager,https://docs.microsoft.com/azure/azure-resource-manager/
Management & Governance,Azure Policy,https://docs.microsoft.com/azure/policy/
Management & Governance,Azure Blueprints,https://docs.microsoft.com/azure/governance/blueprints/
Management & Governance,Azure Monitor,https://docs.microsoft.com/azure/azure-monitor/
Management & Governance,Azure Cost Management and Billing,https://docs.microsoft.com/azure/cost-management/
Management & Governance,Azure Automation,https://docs.microsoft.com/azure/automation/
Management & Governance,Azure Lighthouse,https://docs.microsoft.com/azure/lighthouse/
